street_id,street_prefix,street_name,terittory_id
_ul1029,UL.,SOSNOWIECKA,20601
_ul1030,UL.,SOWIA,20615
_ul1031,UL.,SPACEROWA,20641
_ul1032,UL.,SPADOCHRONIARZY,20645
_ul1033,UL.,SPAWACZY,20655
_ul1034,UL.,SPISKA,20666
_ul1035,UL.,SPOKOJNA,20677
_ul1036,UL.,SPOŁECZNA,20678
_ul1037,UL.,SPORTOWA,20683
_ul1038,UL.,SPÓŁDZIELCZA,20696
_ul1039,PL.,SREBRNY,20738
_ul1040,UL.,SROCZA,20744
_ul1041,UL.,STABŁOWICKA,20754
_ul1042,UL.,STACYJNA,20781
_ul1043,UL.,STAJENNA,20801
_ul1044,UL.,STALOWOWOLSKA,20811
_ul1045,UL.,STANISŁAWOWSKA,20831
_ul1046,UL.,STANÓW ZJEDNOCZONYCH,20848
_ul1047,UL.,STARGARDZKA,20908
_ul1048,UL.,STAROBIELAWSKA,20914
_ul1049,UL.,STARODĘBOWA,20926
_ul1050,UL.,STARODWORSKA,20932
_ul1051,UL.,STAROGAJOWA,20934
_ul1052,UL.,STAROGRANICZNA,20939
_ul1053,UL.,STAROGROBLOWA,20940
_ul1054,UL.,STAROMŁYŃSKA,20958
_ul1055,UL.,STAROPOLSKA,20971
_ul1056,UL.,STAROŚCIŃSKA,20991
_ul1057,UL.,STAWOWA,21101
_ul1058,UL.,STEROWCOWA,21153
_ul1059,UL.,STOBRAWSKA,21184
_ul1060,UL.,STOCZNIOWA,21189
_ul1061,UL.,STODOLNA,21193
_ul1062,UL.,STOKROTKOWA,21228
_ul1063,UL.,STOLARSKA,21231
_ul1064,UL.,STOPNICKA,21244
_ul1065,UL.,STRACHOCIŃSKA,21249
_ul1066,UL.,STRACHOWICKA,21250
_ul1067,UL.,STRAŻACKA,21271
_ul1068,UL.,STRAŻNICZA,21275
_ul1069,UL.,STRĄCZKOWA,21280
_ul1070,UL.,STROMA,21293
_ul1071,UL.,STRUMYKOWA,21325
_ul1072,UL.,STRYJSKA,21346
_ul1073,UL.,STRZEGOMSKA,21359
_ul1074,PL.,STRZEGOMSKI,21360
_ul1075,PL.,STRZELECKI,21384
_ul1076,UL.,STUDZIENNA,21425
_ul1077,UL.,SUCHA,21489
_ul1078,UL.,SUDECKA,21525
_ul1079,UL.,SUKIELICKA,21537
_ul1080,,SUKIENNICE,21539
_ul1081,UL.,SULEJOWSKA,21549
_ul1082,UL.,SULISTROWSKA,21562
_ul1083,UL.,SULMIERZYCKA,21564
_ul1084,UL.,SUŁOWSKA,21577
_ul1085,UL.,SWOBODNA,21625
_ul1086,UL.,SYCOWSKA,21647
_ul1087,UL.,SYGNAŁOWA,21656
_ul1088,UL.,SYJAMSKA,21659
_ul1089,UL.,SYNÓW PUŁKU,21670
_ul1090,UL.,SZACHISTÓW,21696
_ul1091,UL.,SZAFRANOWA,21721
_ul1092,UL.,SZARA,21768
_ul1093,UL.,SZAROTKOWA,21780
_ul1094,UL.,SZARYCH SZEREGÓW,21787
_ul1095,UL.,SZCZAWIOWA,21800
_ul1096,UL.,SZCZECIŃSKA,21805
_ul1097,UL.,SZCZEPIŃSKA,21829
_ul1098,,RYNEK SZCZEPIŃSKI,21830
_ul1099,UL.,SZCZEPOWA,21831
_ul1100,UL.,SZCZĘŚLIWA,21846
_ul1101,UL.,SZCZYCIEŃSKA,21866
_ul1102,UL.,SZCZYGLA,21869
_ul1103,UL.,SZCZYTNICKA,21883
_ul1104,UL.,SZEWSKA,21947
_ul1105,UL.,SZKLARSKA,21962
_ul1106,UL.,SZKOCKA,21967
_ul1107,UL.,SZKOLNA,21970
_ul1108,UL.,SZMARAGDOWA,22003
_ul1109,UL.,SZPACZA,22057
_ul1110,UL.,SZPILKOWA,22070
_ul1111,UL.,SZPITALNA,22073
_ul1112,UL.,SZPROTAWSKA,22076
_ul1113,UL.,SZRONOWA,22096
_ul1114,UL.,SZTABOWA,22098
_ul1115,UL.,SZWEDZKA,22179
_ul1116,UL.,SZYBKA,22207
_ul1117,UL.,SZYBOWCOWA,22210
_ul1118,UL.,ŚCINAWSKA,22302
_ul1119,UL.,ŚLAZOWA,22304
_ul1120,UL.,ŚLEPA,22317
_ul1121,UL.,ŚLĘZOUJŚCIE,22321
_ul1122,UL.,ŚLĘŻAŃSKA,22323
_ul1123,UL.,ŚLĘŻNA,22324
_ul1124,UL.,ŚLICZNA,22326
_ul1125,UL.,ŚLIWKOWA,22339
_ul1126,AL.,ŚLIWOWA,22342
_ul1127,UL.,ŚNIEŻNA,22400
_ul1128,UL.,ŚREDZKA,22414
_ul1129,UL.,ŚRODKOWA,22419
_ul1130,UL.,ŚRUBOWA,22437
_ul1131,UL.,ŚRUTOWA,22439
_ul1132,UL.,ŚWIĄTNICKA,22451
_ul1133,UL.,ŚWIDNICKA,22461
_ul1134,UL.,ŚWIEBODZKA,22472
_ul1135,UL.,ŚWIERKOWA,22508
_ul1136,UL.,ŚWIEŻA,22530
_ul1137,UL.,ŚWIĘTOCHŁOWICKA,22541
_ul1138,PL.,ŚWIĘTOJAŃSKI,22549
_ul1139,UL.,ŚWIĘTOKRZYSKA,22552
_ul1140,UL.,MIŁOSTOWSKA,27538
_ul1141,UL.,RODZINY KORNÓW,39032
_ul1142,UL.,PAKOSŁAWSKA,39756
_ul1143,UL.,AUSTRIACKA,31214
_ul1144,UL.,IRLANDZKA,06929
_ul1145,SKWER,SOLIDARNOŚCI WALCZĄCEJ,39697
_ul1146,UL.,ZAJĘCZA,25427
_ul1147,UL.,PASTELOWA,15773
_ul1148,UL.,PASTERSKA,15776
_ul1149,UL.,PAULIŃSKA,15826
